K76,070106568,7,Night,T-205TH,123000-5460C101,2019-12-13 00:01:53,4,BRC00025,BRC00028,FA-6,20191212070106568,86120-0KA50-00,HEAD UNIT,5-170209105135.jpg,Printed,,4,
01130,070106569,7,Night,T-473TH,123000-54310101,2019-12-13 00:07:04,4,BRC00081,BRC00084,FA-6,20191213070106569,86120-0KA11-00,HEAD UNIT,33-170518104855.jpg,Printed,,4,
K72,070106570,7,Night,T-201TH,123000-5420C101,2019-12-13 00:12:16,4,BRC03189,BRC03192,FA-6,20191213070106570,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106571,7,Night,T-201TH,123000-5420C101,2019-12-13 00:17:44,4,BRC03193,BRC03196,FA-6,20191213070106571,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106572,7,Night,T-201TH,123000-5420C101,2019-12-13 00:23:07,4,BRC03197,BRC03200,FA-6,20191213070106572,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K74,070106573,7,Night,T-203TH,123000-5440C101,2019-12-13 00:28:16,4,BRC00733,BRC00736,FA-6,20191213070106573,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K72,070106574,7,Night,T-201TH,123000-5420C101,2019-12-13 00:33:13,4,BRC03201,BRC03204,FA-6,20191213070106574,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106575,7,Night,T-201TH,123000-5420C101,2019-12-13 00:38:46,4,BRC03205,BRC03208,FA-6,20191213070106575,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
02287,070106576,7,Night,T-363JP,123000-7160F101,2019-12-13 00:45:16,2,BRC00393,BRC00394,FA-6,20191213070106576,-,-,278-190607163442.jpg,Printed,,2,
02287,070106577,7,Night,T-363JP,123000-7160F101,2019-12-13 00:49:05,2,BRC00395,BRC00396,FA-6,20191213070106577,-,-,278-190607163442.jpg,Printed,,2,
02287,070106578,7,Night,T-363JP,123000-7160F101,2019-12-13 01:52:21,2,BRC00397,BRC00398,FA-6,20191213070106578,-,-,278-190607163442.jpg,Printed,,2,
02287,070106579,7,Night,T-363JP,123000-7160F101,2019-12-13 01:57:11,2,BRC00399,BRC00400,FA-6,20191213070106579,-,-,278-190607163442.jpg,Printed,,2,
02287,070106580,7,Night,T-363JP,123000-7160F101,2019-12-13 02:00:25,2,BRC00401,BRC00402,FA-6,20191213070106580,-,-,278-190607163442.jpg,Printed,,2,
02287,070106581,7,Night,T-363JP,123000-7160F101,2019-12-13 02:04:10,2,BRC00403,BRC00404,FA-6,20191213070106581,-,-,278-190607163442.jpg,Printed,,2,
02287,070106582,7,Night,T-363JP,123000-7160F101,2019-12-13 02:08:06,2,BRC00405,BRC00406,FA-6,20191213070106582,-,-,278-190607163442.jpg,Printed,,2,
02287,070106583,7,Night,T-363JP,123000-7160F101,2019-12-13 02:11:58,2,BRC00407,BRC00408,FA-6,20191213070106583,-,-,278-190607163442.jpg,Printed,,2,
02289,070106584,7,Night,T-365JP,123000-7180F101,2019-12-13 02:17:18,2,BRC00119,BRC00120,FA-6,20191213070106584,-,-,279-190607163543.jpg,Printed,,2,
K72,070106585,7,Night,T-201TH,123000-5420C101,2019-12-13 02:23:44,4,BRC03209,BRC03212,FA-6,20191213070106585,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106586,7,Night,T-201TH,123000-5420C101,2019-12-13 02:29:02,4,BRC03213,BRC03216,FA-6,20191213070106586,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106587,7,Night,T-201TH,123000-5420C101,2019-12-13 02:34:53,4,BRC03217,BRC03220,FA-6,20191213070106587,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
01130,070106588,7,Night,T-473TH,123000-54310101,2019-12-13 02:39:56,4,BRC00085,BRC00088,FA-6,20191213070106588,86120-0KA11-00,HEAD UNIT,33-170518104855.jpg,Printed,,4,
K72,070106589,7,Night,T-201TH,123000-5420C101,2019-12-13 02:45:12,4,BRC03221,BRC03224,FA-6,20191213070106589,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
